event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,KSI_fast,KSI_slow,KSI_combined,is_flood,flood_event_id
632057,04/25/2016,CAGUAS CO.,18.2365,-66.0245,0,Heavy Rain,45.755,0.0,1.66,1.57,0.27,0.13,1.025,64,0.26,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,45.7854039605553,48.676308102332115,46.94176561726603,1,632057
632056,04/25/2016,CAGUAS CO.,18.2389,-66.0127,0,Heavy Rain,45.755,0.0,1.66,1.57,0.27,0.13,1.025,59,0.52,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,45.7854039605553,48.676308102332115,46.94176561726603,1,632056
632073,04/25/2016,CAGUAS CO.,18.2361,-66.0219,0,Heavy Rain,45.755,0.0,1.66,1.57,0.27,0.13,1.025,62,0.36,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,45.7854039605553,48.676308102332115,46.94176561726603,1,632073
632070,04/25/2016,CAGUAS CO.,18.2307,-66.0321,0,Heavy Rain,45.755,0.0,1.66,1.57,0.27,0.13,1.025,75,1.73,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,45.7854039605553,48.676308102332115,46.94176561726603,1,632070
632364,04/25/2016,PENUELAS CO.,18.0881,-66.6958,0,Heavy Rain,78.765,0.0,2.135,1.315,0.0,0.175,0.465,225,7.39,Caguabo,"Caguabo gravelly clay loam, 20 to 60 percent slopes",1,78.80410388902745,81.50904954503133,79.88608215142901,1,632364
632367,04/25/2016,SABANA GRANDE CO.,18.0318,-66.8988,0,Heavy Rain,42.77,0.0,2.28,0.99,0.365,0.255,1.435,61,1.29,Fraternidad,"Fraternidad clay, 2 to 5 perecent slopes",1,42.81175965666632,46.068223166433675,44.11434506057326,1,632367
632773,04/26/2016,AGUADILLA CO.,18.4795,-67.1532,0,Heavy Rain,81.885,15.895,0.78,20.75,2.65,0.675,0.145,76,2.08,Urban land,Urban land,1,84.05044052537917,111.65601465504191,95.09267017724429,1,632773
632819,04/26/2016,AGUADILLA CO.,18.4699,-67.125,0,Heavy Rain,81.885,15.895,0.78,20.75,2.65,0.675,0.145,90,3.1,Coto,"Coto clay, 2 to 5 percent slopes",1,84.05044052537917,111.65601465504191,95.09267017724429,1,632819
632822,04/27/2016,LUQUILLO CO.,18.3277,-65.7483,0,Heavy Rain,53.135,5.055,4.725,1.075,31.59,12.47,1.525,141,18.91,Naranjito,"Naranjito silty clay loam, 40 to 60 percent slopes",0,53.90566125051035,86.35929353842145,66.88711416567479,1,632822
632823,04/27/2016,NAGUABO CO.,18.2185,-65.7821,0,Heavy Rain,25.695,3.09,21.565,0.38,35.855,13.51,2.485,11,0.82,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,26.508162777836688,72.74304998396826,45.002117660289315,1,632823
633046,04/29/2016,FAJARDO CO.,18.3394,-65.6688,0,Heavy Rain,24.345,6.88,29.58,1.57,3.54,0.685,55.075,25,1.32,Fajardo,"Fajardo clay, 2 to 10 percent slopes, eroded",0,25.81788334699665,79.26735026413397,47.19767011385157,1,633046
633052,04/29/2016,FAJARDO CO.,18.32,-65.65,0,Heavy Rain,24.345,6.88,29.58,1.57,3.54,0.685,55.075,7,3.09,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,25.81788334699665,79.26735026413397,47.19767011385157,1,633052
633053,04/29/2016,LUQUILLO CO.,18.35,-65.72,0,Heavy Rain,13.71,12.145,53.135,5.055,4.725,1.075,31.59,29,0.58,Rio Arriba,"Rio Arriba clay, 5 to 12 percent slopes, eroded",0,16.32684848726155,84.06149110128601,43.42070553287133,1,633053
640321,05/30/2016,NAGUABO CO.,18.22,-65.73,0,Heavy Rain,46.77,30.88,8.845,3.995,0.025,1.52,0.0,29,1.39,Cobbly alluvial land,Cobbly alluvial land,0,51.111155372317455,83.54672651194984,64.08538382817041,1,640321
658835,08/05/2016,CIDRA CO.,18.193,-66.2015,0,Heavy Rain,13.875,0.635,0.0,0.0,14.215,79.1,0.0,324,11.44,Mucara,"Mucara clay, 20 to 40 percent slopes",1,13.96093790485525,61.17568084163665,32.84683507956781,1,658835
658831,08/26/2016,PONCE CO.,17.9965,-66.6338,0,Heavy Rain,97.775,14.72,1.53,0.345,0.0,0.915,0.0,12,0.82,Urban land,Urban land,1,99.79515829674273,112.3578800360707,104.8202469924739,1,658831
658237,08/26/2016,PONCE CO.,18.0061,-66.6267,0,Heavy Rain,95.11,25.155,4.285,0.775,0.0,0.87,0.0,11,1.29,Urban land,Urban land,1,98.59284156245522,121.06716028244456,107.58256905045096,1,658237
661451,09/20/2016,UTUADO CO.,18.2716,-66.7008,0,Heavy Rain,10.785,8.295,1.61,17.385,0.365,3.955,8.25,161,4.75,Lirios,"Lirios clay loam, 40 to 60 percent slopes",1,11.937094353058564,36.154233990371786,21.623950207983853,1,661451
661455,09/20/2016,SAN SEBASTIAN CO.,18.3295,-66.9869,0,Heavy Rain,7.195,8.665,2.75,3.365,0.25,0.175,0.29,68,0.73,Lares,"Lares clay, 5 to 20 percent slopes, eroded",1,8.418048236189268,19.31506943205509,12.776856714535596,1,661455
661460,09/20/2016,SAN SEBASTIAN CO.,18.3118,-67.0078,0,Heavy Rain,9.075,6.245,3.04,2.395,0.21,2.115,0.005,113,0.82,Humatas,"Humatas clay, 12 to 20 percent slopes",1,9.975848386034396,19.4894332774886,13.78128234261608,1,661460
663756,10/10/2016,TRUJILLO ALTO CO.,18.3363,-66.0097,0,Heavy Rain,0.295,6.365,2.96,1.765,1.66,15.3,11.345,30,3.66,Mucara,"Mucara clay, 20 to 40 percent slopes",1,1.210623368911693,22.428769963914327,9.697882006912748,1,663756
663761,10/18/2016,CABO ROJO CO.,18.03,-67.13,0,Heavy Rain,73.385,1.93,0.21,0.775,5.785,0.685,14.715,24,2.08,Urban land,Urban land,0,73.6500433808133,85.56762664439796,78.41707668624716,1,663761
663762,10/18/2016,MAYAGUEZ CO.,18.1819,-67.1694,0,Heavy Rain,57.655,0.205,0.0,0.605,4.38,2.605,13.8,5,2.08,Leveled sandy land,Leveled sandy land,1,57.682743733063504,67.83189726713684,61.74240514669283,1,663762
664147,10/18/2016,SALINAS CO.,17.971,-66.2177,0,Heavy Rain,56.335,0.0,2.525,1.025,1.29,0.0,17.565,4,0.73,Paso Seco,"Paso Seco clay, 0 to 5 percent slopes",0,56.38124698819406,67.08280061069007,60.66186843719247,1,664147
664002,10/29/2016,MAYAGUEZ CO.,18.2383,-67.1612,0,Heavy Rain,19.55,5.505,0.0,0.13,5.485,6.045,0.0,21,4.73,Lares,"Lares clay, 0 to 5 percent slopes, eroded",1,20.295020734217555,30.463608146838133,24.362455699265787,1,664002
664004,10/29/2016,SAN SEBASTIAN CO.,18.346,-67.0033,0,Heavy Rain,30.74,2.46,1.04,0.12,6.31,8.5,0.0,74,2.85,Urban land,Urban land,1,31.09197306120635,41.45670416119053,35.23786550120002,1,664004
664010,10/30/2016,VEGA ALTA CO.,18.3943,-66.3506,0,Heavy Rain,11.91,12.96,7.34,1.135,6.46,21.92,14.505,133,11.18,Colinas,"Colinas clay loam, 40 to 60 percent slopes",1,13.798382060189809,49.93432461443541,28.252759081888048,1,664010
664013,10/31/2016,COAMO CO.,18.097,-66.3648,0,Heavy Rain,17.97,23.915,8.655,3.22,0.33,1.29,5.595,165,3.59,Llanos,"Llanos clay, 5 to 12 percent slopes, eroded",0,21.365065153185583,50.49528650199576,33.017153692709655,1,664013
667350,11/13/2016,SAN SEBASTIAN CO.,18.3439,-67.0004,0,Heavy Rain,13.125,8.19,5.015,6.68,0.64,26.26,7.045,60,0.82,Santoni,Santoni clay,1,14.32524889873486,44.55149180387866,26.41574606079238,1,667350
667352,11/13/2016,SAN SEBASTIAN CO.,18.3314,-66.9885,0,Heavy Rain,15.4,14.42,5.035,12.1,1.09,21.9,10.495,66,1.57,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1,17.443754026076732,55.35677819382278,32.608963693175156,1,667352
667357,11/13/2016,SAN SEBASTIAN CO.,18.3261,-66.9868,0,Heavy Rain,15.4,14.42,5.035,12.1,1.09,21.9,10.495,84,6.02,Humatas,"Humatas clay, 20 to 40 percent slopes",1,17.443754026076732,55.35677819382278,32.608963693175156,1,667357
667364,11/13/2016,SAN SEBASTIAN CO.,18.3285,-66.9853,0,Heavy Rain,15.4,14.42,5.035,12.1,1.09,21.9,10.495,66,6.07,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1,17.443754026076732,55.35677819382278,32.608963693175156,1,667364
667376,11/13/2016,SAN SEBASTIAN CO.,18.3194,-67.003,0,Heavy Rain,13.125,8.19,5.015,6.68,0.64,26.26,7.045,122,4.12,Humatas,"Humatas clay, 20 to 40 percent slopes",1,14.32524889873486,44.55149180387866,26.41574606079238,1,667376
665874,11/14/2016,JUANA DIAZ CO.,18.0967,-66.5448,0,Heavy Rain,16.42,4.225,22.855,0.0,0.0,2.49,1.16,189,14.19,Reilly,Reilly gravelly loam,1,17.41039549847671,38.968803892962256,26.03375885627093,1,665874
665876,11/14/2016,JUANA DIAZ CO.,17.9996,-66.5283,0,Heavy Rain,4.905,9.725,13.475,0.0,0.325,4.435,2.72,12,0.58,Urban land,"Urban land-Cortada complex, 0 to 2 percent slopes, occasionally flooded",1,6.467938863501752,26.97048888928891,14.668958873816615,1,665876
665884,11/18/2016,YABUCOA CO.,18.0645,-65.8269,0,Heavy Rain,156.52,17.855,0.13,0.0,0.715,0.385,4.005,14,9.8,Teja,"Teja gravelly sandy loam, 12 to 40 percent slopes",0,158.93879251524527,174.38765719124046,165.11833838564334,1,665884
666186,11/18/2016,NAGUABO CO.,18.2154,-65.7755,0,Heavy Rain,81.845,24.905,2.375,2.945,1.78,2.95,1.995,33,8.99,Sabana,"Sabana silty clay loam, 40 to 60 percent slopes",0,85.25902487136858,110.43381066875337,95.32893919032249,1,666186
