event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,flood_event_id,KSI_fast,KSI_slow,KSI_combined
ctrl_0018,01/26/2016,AIBONITO CO.,18.12,-66.25,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685,11.47,Maricao,"Maricao clay, 20 to 60 percent slopes",1,605716,0.0,0.0,0.0
ctrl_0019,06/21/2017,AIBONITO CO.,18.1413,-66.2547,0,None,2.55,1.155,12.5,0.0,0.01,0.0,0.0,609,1.39,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1,605718,2.935257738247465,12.95035731887261,6.9412975704975235
ctrl_0020,08/17/2017,COMERIO CO.,18.2363,-66.2137,0,None,82.955,11.99,1.86,0.02,0.0,0.0,2.575,187,7.21,Water,Water,1,605719,84.61173713434003,95.85240264189348,89.10800333736141
ctrl_0021,09/07/2020,SAN LORENZO CO.,18.15,-65.97,0,None,0.0,0.0,0.77,0.0,4.185,1.38,10.645,221,6.85,Pandura,"Pandura sandy loam, 20 to 40 percent slopes",1,605721,0.014103041944325318,8.134999288690171,3.2624615406426636
ctrl_0022,10/08/2021,LAS PIEDRAS CO.,18.1888,-65.8773,0,None,0.0,0.155,0.0,0.0,0.005,11.66,37.87,123,2.94,Cayagua,"Cayagua sandy loam, 5 to 12 percent slopes, eroded",1,605723,0.02097696890167497,21.916245081291486,8.7790842138576
ctrl_0023,04/26/2015,JUNCOS CO.,18.2262,-65.916,0,None,0.0,0.0,0.0,0.0,0.385,0.0,0.0,69,0.26,Urban land,Urban land,1,605725,0.0,0.21741647697298733,0.08696659078919494
ctrl_0024,04/24/2021,CAGUAS CO.,18.2,-66.03,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,17.05,Caguabo,"Caguabo clay loam, 40 to 60 percent slopes",1,605731,0.0,0.0,0.0
ctrl_0025,04/01/2017,NAGUABO CO.,18.2202,-65.7927,0,None,0.0,0.0,1.505,0.57,0.32,1.565,0.0,29,9.17,Pandura,"Pandura loam, 12 to 40 percent slopes",0,609484,0.027565036527544936,2.449136085120122,0.9961934559645758
ctrl_0026,01/18/2023,MOCA CO.,18.3677,-67.0961,0,None,0.0,0.0,0.0,3.795,0.0,1.86,2.15,117,8.87,Plata,"Plata clay, 40 to 60 percent slopes, eroded",1,609898,0.0,4.295160328311731,1.7180641313246925
ctrl_0027,04/22/2022,SAN JUAN CO.,18.4404,-66.052,0,None,1.58,0.655,0.595,1.76,0.23,0.0,7.24,23,2.45,Urban land,Urban land,1,631856,1.6795424156587784,6.943811325733725,3.785249979688757
